district,nddp,net_enroll_upper_primary,pucca_households,rural_income_10000,women_with_anc,crude_birth_rate,literacy_rate,sex_ratio_at_birth,under_5_mortality,households_toilet_access,railway_access
Anugul,711555,65.23,44.34479173,9.69,17.7,17.5,84.8,855,58,24.1,105.51
Baleshwar,681941,69.18,16.00010803,2.55,14.8,20.8,77.5,931,110,27.5,107.69
Bargarh,436849,67.24,41.39118294,5.96,18.4,18.8,86.7,902,53,16.1,54.33
Bhadrak,403007,64.97,29.13400811,3.01,17.6,17.6,80.6,853,72,20.1,35.82
Balangir,612263,69.91,17.57513155,2.18,22.9,28.8,77.1,928,88,15.1,176.57
Baudh,152364,81.5,23.74534949,7.32,14.1,20.5,84,863,61,10.8,0
Cuttack,1148347,60.15,57.00976019,7.4,29.8,19.5,87.6,942,88,36.3,111.37
Debagarh,96928,75.31,35.44496428,3.86,16.9,18.4,79.7,941,78,9.2,0
Dhenkanal,428316,66.94,37.29974716,4.28,16.6,20.9,84.2,868,80,18.3,50.6
Gajapati,206487,53.28,48.33822198,1.9,23.2,20.2,60.8,907,82,18.1,54
Ganjam,1259675,67.73,73.46983121,3.91,28.5,19,77.4,875,90,28.5,85.64
Jagatsinghapur,436357,75.25,55.37544713,9.09,43.5,17.7,88.2,946,64,24.5,68.12
Jajapur,797919,62.23,39.88560797,7.62,13.4,18.3,82.7,890,59,22.9,131.66
Jharsuguda,405140,66.01,38.56624319,7.88,36.1,17,84,892,55,26.1,52.38
Kalahandi,500814,64.84,8.50089338,2.4,21.8,20.2,65.8,902,75,11.7,38.43
Kandhamal,449929,59.01,56.24802423,2.85,32.5,21.2,68.6,883,142,11.1,0
Kendrapara,376831,75.92,32.55477409,8.43,21.1,18.7,84.1,942,66,17.8,0
Kendujhar,1396716,62.38,34.21953661,4.35,20.8,20.3,78.5,922,81,15.1,164.82
Khordha,1149807,66.76,67.63742367,5.73,28.8,18.9,90.5,901,100,47.1,117.39
Koraput,547719,48.92,57.79223497,2.39,18.8,25.1,55.8,909,69,17.4,281
Malkangiri,153337,45.54,53.55063052,1.94,14.8,24.4,50.2,936,77,9.3,0
Mayurbhanj,763291,90.55,28.28134968,3.1,33.4,19.8,68.5,930,73,18.6,112.1
Nabarangapur,283623,55.43,22.46467316,1.84,20.9,24.1,51.8,949,85,9.3,0
Nayagarh,240301,69.47,43.7765277,3.94,20,22.5,64.4,830,83,19,0
Nuapada,183439,73.23,8.551064608,2.83,37.1,20.6,86.7,930,74,14.5,31.67
Puri,496274,74.08,47.86928734,4.99,18.4,17.5,89.2,901,105,23.8,42.56
Rayagada,325335,44.73,48.1953365,2.4,29.2,22.7,60.3,902,103,14.8,154
Sambalpur,490951,68.22,37.14928992,4.45,20.7,18.6,80.6,863,67,22.9,162.4
Subarnapur,184973,72.07,26.99441242,3.02,24.3,20.9,80.9,919,81,10.3,12.12
Sundargarh,1155552,65.21,32.70070285,4.79,25.7,17.9,79.6,899,58,28,262
